Film,Release,week1,week2,week3,week4,week5,week6
ironman2,05/07/10,159159871,65504932,33912107,24934252,11250022,6576893
thor,05/06/11,84752317,45153838,20453148,14513601,6356604,3736494
avengers,05/04/12,270019373,132002042,74663373,55779192,28586745,16838179
ironman3,05/03/13,212421084,89470799,46190641,28662761,11784380,8172574
thedarkworld,11/08/13,108511114,45209707,21898969,13279852,6526047,4012419
guardiansofthegalaxy,08/01/14,134390839,63154982,36708036,24043411,26110586,13476978
ageofultron,05/01/15,235655468,97515340,49999671,32979546,15663871,9288322
antman,07/17/15,81310529,38218390,20081627,12439707,8386117,5696156
doctorstrange,11/04/16,109982169,53884708,28174050,16782250,8908269,6318581
guardiansofthegalaxy2,05/05/17,183157419,83580055,46578453,32425405,14377840,9751843
spidermanhomecoming,07/07/17,163070314,66631267,35205224,21200971,14245918,9447687
thorragnarok,11/03/17,154989707,70606463,35191107,20960322,13117465,8529056
blackpanther,02/16/18,291954422,143445615,85479564,57496927,35881708,25178398
infinitywar,04/27/18,147679563,80348856,38833679,27304294,15398767,11006251
antmanandwasp,07/06/18,103985225,44513067,26225835,14557308,10188909,6275306
captainmarvel,03/08/19,196895933,89581902,46827980,28145748,16462018,13012552
endgame,04/26/19,473894638,186551101,80949131,39936866,26357048,11877156
spidermanfarfromhome,07/02/19,92483850,136745455,69430107,33595858,20318655,13098565
