ironman2,0.841,0.7880952380952381,0.7890173410404624,0.7846715328467153,0.7938775510204081,0.787833827893175
thor,0.733,0.717,0.689,0.727,0.703,0.691
avengers,0.651,0.674,0.722,0.736,0.63,0.634
ironman3,0.679,0.669,0.673,0.673,0.703,0.666
thedarkworld,0.662,0.662613981762918,0.6182795698924731,0.6153846153846154,0.4358974358974359,0.64
guardiansofthegalaxy,0.709,0.686,0.703,0.716,0.763,0.69
ageofultron,0.675,0.726,0.718,0.671,0.648,0.7002212389380531
antman,0.782,0.785,0.827,0.739,0.734,0.705
doctorstrange,0.746,0.75,0.727,0.723,0.73,0.764218009478673
guardiansofthegalaxy2,0.718,0.682,0.658,0.679,0.666,0.679658952496955
spidermanhomecoming,0.733,0.714,0.753,0.714,0.733,0.721
thorragnarok,0.688,0.727,0.686,0.714,0.69,0.668
blackpanther,0.693,0.687,0.675,0.692,0.646,0.662
infinitywar,0.634,0.631,0.694,0.677,0.65,0.718
antmanandwasp,0.75,0.7278820375335121,0.7924528301886793,0.7527472527472527,0.7886435331230284,0.8367346938775511
captainmarvel,0.756,0.761,0.783,0.774,0.75,0.739
endgame,0.651,0.667,0.657,0.69,0.688,0.709
spidermanfarfromhome,0.693,0.73,0.695,0.742,0.717,0.742
